Team		Record		Î”	Rat		Pwr		Off		Def		HFA	SoS		SSF		EW	EL	
Delaware	Colonial	13-20	0.39394	+21	235	1.19982	273	20.5811	304	81.2102	176	16.1278	3.81349	194	26.2188	193	26.2188	0	0	
E Illinois	OH Valley	14-15	0.48276	-1	236	1.19861	229	23.7186	223	86.7772	222	13.699	2.09265	281	23.2218	281	23.2218	0	0	
SC Upstate	Atlantic Sun	17-15	0.53125	-9	237	1.19827	228	23.7306	153	89.7949	277	10.6918	1.40895	296	22.6846	296	22.6846	0	0	
CS Fullerton	Big West	16-13	0.55172	+13	238	1.19781	259	21.6081	258	84.3148	214	14.0558	3.38565	312	21.3968	312	21.3501	0.5543	0.4457	
Loyola MD	Patriot League	15-16	0.48387	-5	239	1.19458	254	21.9106	309	80.8305	142	17.8417	2.27715	245	24.7223	246	24.7223	0	0	
Lamar	Southland	19-13	0.59375	+14	240	1.1938	231	23.366	190	88.1407	253	11.9823	4.7674	331	19.6535	331	19.7245	0.5469	0.4531	
Air Force	Mountain West	12-20	0.375	+5	241	1.19186	222	23.9955	202	87.5397	231	13.2133	4.17546	162	27.1138	157	27.3234	0.1883	0.8117	
Long Island	Northeast	20-12	0.625	-18	242	1.19098	262	21.4513	265	83.881	207	14.3279	0.69362	328	20.0036	328	20.0036	0	0	
South Alabama	Sun Belt	14-18	0.4375	-17	243	1.18614	242	22.6747	233	86.268	235	13.1662	4.13924	211	25.6208	211	25.6208	0	0	
SE Missouri St	OH Valley	15-18	0.45455	+4	244	1.18541	248	21.9827	216	86.9842	256	11.7574	2.93826	269	23.8694	269	23.8694	0	0	
Portland	West Coast	11-22	0.33333	+20	245	1.18075	243	22.4663	282	83.0238	175	16.2025	1.16539	125	28.7283	127	28.7283	0	0	
Duquesne	Atlantic 10	10-22	0.3125	-19	246	1.1775	203	25.2952	186	88.5148	226	13.5455	2.05958	117	29.3955	118	29.3955	0	0	
UNLV	Mountain West	11-21	0.34375	-4	247	1.17509	244	22.4561	251	85.007	211	14.2068	4.28275	115	29.5163	115	29.5163	0	0	
Youngstown St	Horizon	13-21	0.38235	+34	248	1.17134	274	20.5723	107	91.884	332	5.45311	2.32093	235	24.8712	237	24.8712	0	0	
Kennesaw	Atlantic Sun	14-18	0.4375	+8	249	1.1646	256	21.8867	215	87.0845	264	11.5576	2.28572	280	23.2248	280	23.2248	0	0	
Charlotte	Conference USA	13-17	0.43333	-10	250	1.15951	253	21.9326	129	90.9365	316	7.75447	4.3053	191	26.2988	191	26.2988	0	0	
James Madison	Colonial	10-23	0.30303	+4	251	1.15399	224	23.897	308	80.8876	98	19.7663	3.2787	157	27.2725	160	27.2725	0	0	
Columbia	Ivy League	11-16	0.40741	-21	252	1.14877	236	23.0496	226	86.6382	233	13.1709	1.61578	228	25.062	229	25.062	0	0	
Portland St	Big Sky	15-15	0.5	-4	253	1.14534	233	23.1873	59	95.0114	336	4.93588	2.91298	316	21.0209	315	21.2305	0.3559	0.6441	
UT San Antonio	Conference USA	14-18	0.4375	+8	254	1.14393	264	21.161	312	80.5967	149	17.3239	5.30202	239	24.8149	228	25.1616	0.073	0.927	
Wagner	Northeast	16-14	0.53333	-17	255	1.14304	255	21.9103	315	80.448	132	18.2238	0.961736	320	20.8983	320	20.8983	0	0	
Montana St	Big Sky	16-16	0.5	-26	256	1.13153	246	22.1859	120	91.291	318	7.65557	3.34448	282	23.2163	282	23.2163	0	0	
St Francis PA	Northeast	16-16	0.5	+6	257	1.13151	261	21.5406	180	88.7333	297	9.56721	1.44485	322	20.648	322	20.648	0	0	
Robert Morris	Northeast	14-19	0.42424	-6	258	1.1298	272	20.5948	322	80.0185	148	17.3401	0.234718	261	24.0083	261	24.0083	0	0	
Hawaii	Big West	14-15	0.48276	-18	259	1.11941	251	21.9441	285	82.6565	178	16.0503	3.21909	287	23.034	286	23.0593	0.4378	0.5622	
Radford	Big South	14-18	0.4375	-7	260	1.11833	283	19.9824	332	78.8025	139	17.9385	1.5037	266	23.8987	266	23.8987	0	0	
CS Sacramento	Big Sky	13-17	0.43333	+15	261	1.11248	271	20.6457	269	83.5785	217	13.8271	2.6804	298	22.5014	298	22.6535	0.2865	0.7135	
High Point	Big South	15-16	0.48387	-20	262	1.11184	250	21.9452	280	83.1781	193	15.5263	1.69929	302	22.1873	302	22.1873	0	0	
Army	Patriot League	13-19	0.40625	-3	263	1.10097	247	22.1481	213	87.1841	258	11.7224	2.59827	268	23.8743	268	23.8743	0	0	
E Kentucky	OH Valley	12-19	0.3871	-3	264	1.09189	265	21.0145	266	83.7774	216	13.9952	2.9432	230	25.0372	231	25.0372	0	0	
Seattle	Western Athletic	13-16	0.44828	-7	265	1.08662	258	21.7353	284	82.7673	184	15.7256	3.02753	291	22.8634	288	22.9766	0.3496	0.6504	
Tennessee Tech	OH Valley	12-20	0.375	-16	266	1.08578	257	21.7532	245	85.4145	236	13.0957	1.94369	262	24.007	262	24.007	0	0	
Austin Peay	OH Valley	11-19	0.36667	-3	267	1.08568	277	20.3595	106	91.9778	335	5.13863	2.25656	244	24.7694	245	24.7694	0	0	
Pepperdine	West Coast	9-22	0.29032	-21	268	1.08493	280	20.0856	194	87.9772	304	8.86836	3.07989	120	29.3196	120	29.3196	0	0	
SE Louisiana	Southland	16-16	0.5	+2	269	1.08082	260	21.5538	301	81.3724	156	16.9432	4.00929	318	20.9181	318	20.9181	0	0	
Oral Roberts	Summit Lg	8-22	0.26667	-2	270	1.07796	238	22.9856	155	89.7484	291	9.99579	4.04625	126	28.716	128	28.716	0	0	
Miami OH	Mid-American	11-21	0.34375	+16	271	1.06984	275	20.5708	296	81.8146	194	15.5166	2.27463	209	25.7455	209	25.7455	0	0	
Citadel	Southern	12-21	0.36364	+24	272	1.06811	285	19.8019	13	101.778	350	-5.21922	2.40511	257	24.2844	256	24.2844	0	0	
Brown	Ivy League	13-17	0.43333	-6	273	1.06568	266	20.9796	132	90.7658	324	6.97521	1.12276	289	22.9273	290	22.9273	0	0	
Jacksonville	Atlantic Sun	17-15	0.53125	-8	274	1.06117	281	20.0235	225	86.6426	287	10.1369	1.83472	327	20.0046	327	20.0046	0	0	
FL Atlantic	Conference USA	10-20	0.33333	-16	275	1.04103	276	20.4671	249	85.0328	250	12.1912	2.69544	247	24.679	248	24.679	0	0	
Niagara	Metro Atlantic	10-23	0.30303	+9	276	1.03629	268	20.9336	230	86.5056	272	11.1856	1.98365	226	25.1956	227	25.1956	0	0	
Cal Poly SLO	Big West	11-19	0.36667	-7	277	1.03345	289	19.2495	290	82.4122	225	13.6015	2.26519	256	24.337	254	24.342	0.3289	0.6711	
Northwestern LA	Southland	13-16	0.44828	+23	278	1.03126	290	19.0199	170	89.1591	325	6.6218	2.87661	305	21.9762	305	21.9762	0	0	
Tulane	American Athletic	6-24	0.2	+11	279	1.02591	252	21.9349	149	90.0154	308	8.67753	3.91059	100	30.9675	101	30.908	0.2742	0.7258	
Colgate	Patriot League	10-22	0.3125	-7	280	1.02023	269	20.9322	295	82.0086	187	15.6836	1.57051	222	25.2561	223	25.2561	0	0	
Norfolk St	Mid-Eastern AC	16-15	0.51613	-6	281	1.01354	293	18.423	294	82.0177	234	13.1676	3.05712	334	19.4464	334	19.4464	0	0	
Cornell	Ivy League	8-21	0.27586	+9	282	1.00272	278	20.3408	231	86.5046	280	10.595	1.58339	180	26.523	182	26.523	0	0	
N Colorado	Big Sky	12-18	0.4	+22	283	0.991608	286	19.6371	274	83.4032	238	12.9951	2.30936	293	22.8336	294	22.8336	0	0	
Cleveland St	Horizon	9-22	0.29032	-15	284	0.982338	267	20.951	324	79.7897	140	17.9238	3.66127	171	26.8369	171	26.8369	0	0	
Alcorn St	Southwestern AC	17-13	0.56667	-11	285	0.981281	302	17.4677	313	80.5611	223	13.6706	4.10093	345	16.67	347	16.5158	0.7529	0.2471	
Appalachian St	Sun Belt	9-21	0.3		286	0.980978	288	19.5844	232	86.3745	292	9.97139	4.21913	203	25.8575	204	25.8575	0	0	
ULM	Sun Belt	9-23	0.28125	+11	287	0.978922	263	21.2924	298	81.584	167	16.4679	4.0062	204	25.8287	200	25.9618	0.2091	0.7909	
Nicholls St	Southland	14-17	0.45161	-9	288	0.976455	301	17.4944	218	86.9559	323	7.29944	4.08282	308	21.6777	308	21.6777	0	0	
CS Northridge	Big West	11-18	0.37931	-17	289	0.975453	282	19.9922	91	92.6019	339	4.15302	2.37867	272	23.6766	274	23.6075	0.4457	0.5543	
Oregon St	Pac 12	5-27	0.15625	+13	290	0.955242	270	20.7461	328	79.2619	130	18.2427	4.79839	93	31.5293	93	31.5293	0	0	
Manhattan	Metro Atlantic	10-22	0.3125	-7	291	0.954666	292	18.6378	270	83.5081	254	11.8877	2.99195	195	26.1501	196	26.1501	0	0	
Abilene Chr	Southland	13-16	0.44828	-14	292	0.948547	310	17.1329	320	80.1561	221	13.736	3.1045	329	19.925	329	19.925	0	0	
Dartmouth	Ivy League	7-20	0.25926	+15	293	0.947627	299	17.6544	275	83.3741	273	11.0381	1.35625	213	25.5788	214	25.5788	0	0	
Detroit	Horizon	8-23	0.25806	-14	294	0.943652	300	17.6229	113	91.6374	342	2.74997	2.73232	182	26.4748	184	26.4748	0	0	
Drexel	Colonial	9-23	0.28125	-12	295	0.937552	279	20.1877	174	88.872	314	8.07314	3.61325	201	25.8956	202	25.8956	0	0	
NJIT	Atlantic Sun	11-20	0.35484	-4	296	0.933969	296	18.3126	289	82.418	246	12.6539	3.08397	277	23.3634	278	23.3634	0	0	
W Illinois	Summit Lg	8-20	0.28571	+2	297	0.93176	294	18.3712	254	84.6198	282	10.509	3.16068	264	23.9541	263	23.9541	0	0	
South Florida	American Athletic	7-22	0.24138	-5	298	0.930349	297	18.1759	286	82.6529	248	12.2854	3.86282	124	28.7822	124	28.8892	0.1153	0.8847	
Quinnipiac	Metro Atlantic	10-21	0.32258	-18	299	0.927833	308	17.2022	137	90.5087	341	3.44858	2.45717	217	25.4094	219	25.4094	0	0	
Sacred Heart	Northeast	13-19	0.40625	-6	300	0.9257	298	17.9328	219	86.9533	317	7.73785	1.19206	310	21.4657	310	21.4657	0	0	
Hampton	Mid-Eastern AC	14-15	0.48276	+11	301	0.925171	312	16.7197	319	80.2775	232	13.204	2.79442	337	18.89	337	18.7589	0.5592	0.4408	
W Carolina	Southern	9-23	0.28125	-14	302	0.921541	307	17.2424	341	76.2308	144	17.7697	3.06959	175	26.7059	177	26.7059	0	0	
Charleston So	Big South	12-19	0.3871	+1	303	0.918375	309	17.1428	228	86.5186	322	7.38154	1.63174	321	20.6594	321	20.6594	0	0	
F Dickinson	Northeast	11-19	0.36667	-7	304	0.908968	284	19.8362	212	87.1873	299	9.40795	1.67618	297	22.6821	297	22.6821	0	0	
Bryant	Northeast	12-20	0.375	-17	305	0.907331	295	18.3521	181	88.7146	327	6.39936	2.28602	300	22.2202	299	22.2202	0	0	
Incarnate Word	Southland	12-17	0.41379	+7	306	0.905377	315	16.386	196	87.8965	334	5.24932	3.89269	311	21.4598	311	21.4598	0	0	
Drake	Missouri Val	7-24	0.22581	-7	307	0.895695	291	18.9121	211	87.1969	312	8.47606	4.96077	150	27.5414	151	27.5414	0	0	
American Univ	Patriot League	8-22	0.26667	-6	308	0.884151	306	17.2777	340	77.1029	158	16.9361	1.73913	225	25.213	226	25.213	0	0	
Marist	Metro Atlantic	8-24	0.25	-2	309	0.882617	303	17.4675	262	84.1341	288	10.0921	2.06466	187	26.3663	187	26.3663	0	0	
Savannah St	Mid-Eastern AC	13-16	0.44828	+13	310	0.877042	314	16.4189	27	98.6402	351	-5.46056	2.75708	332	19.5785	332	19.5785	0	0	
MA Lowell	America East	11-20	0.35484	-2	311	0.876991	305	17.4028	112	91.6581	345	2.50062	2.80211	304	22.0451	304	22.0451	0	0	
UTRGV	Western Athletic	10-21	0.32258	+2	312	0.865734	304	17.444	114	91.623	344	2.58033	3.65468	267	23.8946	265	23.9288	0.2606	0.7394	
Morgan St	Mid-Eastern AC	14-15	0.48276	-3	313	0.860896	320	15.8221	337	77.8143	201	14.7682	3.00641	339	18.2725	339	18.0154	0.6769	0.3231	
Lafayette	Patriot League	9-21	0.3	-8	314	0.859502	321	15.7607	279	83.235	300	9.28701	1.6798	265	23.935	264	23.935	0	0	
Southern Miss	Conference USA	9-22	0.29032		315	0.834963	313	16.4726	336	78.0122	198	15.2178	4.00687	273	23.6572	272	23.6572	0	0	
UC Riverside	Big West	8-20	0.28571	+2	316	0.834512	311	17.1231	335	78.1773	186	15.7068	3.01957	279	23.298	276	23.4931	0.1464	0.8536	
Stetson	Atlantic Sun	11-21	0.34375	+2	317	0.825651	318	16.174	185	88.5196	338	4.41013	3.24188	313	21.295	314	21.295	0	0	
Florida Intl	Conference USA	7-24	0.22581	+13	318	0.825615	287	19.6146	257	84.3806	252	11.992	2.9766	260	24.1086	258	24.1086	0	0	
Grambling	Southwestern AC	16-16	0.5	+8	319	0.823376	329	14.4921	291	82.3164	303	8.93718	4.43604	350	15.4352	349	15.7882	0.1214	0.8786	
Northern Arizona	Big Sky	9-23	0.28125	+2	320	0.822375	319	16.0268	306	81.1446	261	11.6421	3.44914	290	22.9026	291	22.9026	0	0	
MD E Shore	Mid-Eastern AC	13-19	0.40625	-1	321	0.822034	327	14.96	260	84.2324	321	7.48781	2.54051	333	19.5664	333	19.48	0.4407	0.5593	
Santa Barbara	Big West	6-22	0.21429	+2	322	0.811887	323	15.6672	346	75.4146	154	17.0145	3.15039	190	26.3066	190	26.3066	0	0	
Cent Arkansas	Southland	8-24	0.25	-12	323	0.811234	317	16.177	144	90.2701	343	2.67065	4.25245	223	25.2551	224	25.2551	0	0	
Binghamton	America East	12-20	0.375	-7	324	0.806318	316	16.248	325	79.7046	229	13.3011	2.43446	317	20.9446	317	20.9446	0	0	
Hartford	America East	9-23	0.28125	-4	325	0.789284	332	12.9824	303	81.2195	311	8.52251	2.65829	283	23.2143	283	23.2143	0	0	
VMI	Southern	6-24	0.2	-10	326	0.754664	324	15.4136	293	82.1164	289	10.0589	2.41965	216	25.4429	218	25.4429	0	0	
Southern Univ	Southwestern AC	15-17	0.46875	+1	327	0.72658	331	13.6362	299	81.5641	305	8.8335	4.09312	348	15.7655	348	15.9318	0.2471	0.7529	
Edwardsville	OH Valley	6-24	0.2	-3	328	0.724275	322	15.6707	302	81.2417	271	11.1887	2.27968	251	24.5389	250	24.5389	0	0	
North Texas	Conference USA	8-22	0.26667	-3	329	0.720951	325	15.2571	272	83.4654	310	8.54823	3.63803	294	22.8204	295	22.8204	0	0	
S Carolina St	Mid-Eastern AC	11-20	0.35484	-1	330	0.713044	335	12.2883	267	83.7738	333	5.27549	2.42928	330	19.7749	330	19.7749	0	0	
Southern Utah	Big Sky	6-26	0.1875	+9	331	0.697552	330	13.8146	147	90.1183	348	0.456212	2.51835	295	22.7815	292	22.8865	0.1458	0.8542	
McNeese St	Southland	7-22	0.24138	-2	332	0.691601	326	15.1578	271	83.478	313	8.43995	3.23758	278	23.3057	279	23.3057	0	0	
Prairie View	Southwestern AC	13-20	0.39394	+2	333	0.686398	328	14.625	297	81.7926	296	9.59323	4.76573	336	19.1331	336	19.1331	0	0	
Chicago St	Western Athletic	6-25	0.19355	-2	334	0.665185	333	12.7582	323	79.9744	298	9.54366	2.55703	249	24.64	239	24.8568	0.0461	0.9539	
Maine	America East	7-25	0.21875	-2	335	0.63768	336	11.7904	338	77.7841	276	10.7668	1.72643	286	23.0454	287	23.0454	0	0	
Jackson St	Southwestern AC	14-18	0.4375	+1	336	0.630915	334	12.2973	347	74.5198	203	14.5374	4.41508	349	15.7163	350	15.7163	0	0	
Central Conn	Northeast	6-23	0.2069	+1	337	0.573863	339	10.7929	342	75.917	262	11.6353	1.33929	319	20.9105	319	20.9105	0	0	
Bethune-Cookman	Mid-Eastern AC	10-22	0.3125	+5	338	0.571547	338	10.9199	305	81.1723	326	6.50654	2.49999	347	16.5186	346	16.5186	0	0	
Delaware St	Mid-Eastern AC	10-22	0.3125	-3	339	0.553899	340	10.61	339	77.3248	290	10.0447	2.34537	343	17.4638	343	17.4638	0	0	
Idaho St	Big Sky	6-26	0.1875	-6	340	0.553033	337	11.6953	287	82.6134	330	5.84385	3.19863	284	23.0851	285	23.0851	0	0	
Howard	Mid-Eastern AC	9-23	0.28125	+3	341	0.543715	341	10.4715	345	75.5561	259	11.6731	2.49368	338	18.8149	338	18.7242	0.3231	0.6769	
Coppin St	Mid-Eastern AC	8-24	0.25	-3	342	0.456247	342	9.69249	318	80.3137	328	6.14187	2.57137	335	19.4354	335	19.4354	0	0	
MS Valley St	Southwestern AC	7-25	0.21875	+3	343	0.443321	344	8.91143	277	83.3386	346	2.33293	4.18425	326	20.4359	326	20.4359	0	0	
Longwood	Big South	6-24	0.2	-2	344	0.433644	345	8.66313	310	80.822	337	4.59943	1.37051	324	20.5442	324	20.5442	0	0	
Alabama St	Southwestern AC	8-23	0.25806	-4	345	0.418626	343	9.02205	334	78.2086	319	7.57557	4.29191	340	17.9943	340	17.9943	0	0	
Presbyterian	Big South	5-25	0.16667	-1	346	0.340667	348	6.47246	350	73.3387	293	9.89268	1.82329	323	20.6051	323	20.6051	0	0	
St Francis NY	Northeast	4-27	0.12903	+2	347	0.300882	347	7.55942	349	73.7311	281	10.5872	1.37084	325	20.4476	325	20.4476	0	0	
Florida A&M	Mid-Eastern AC	7-23	0.23333	-1	348	0.29261	346	8.09704	307	81.0581	340	3.79796	2.28188	351	15.1815	351	15.1815	0	0	
Ark Pine Bluff	Southwestern AC	7-25	0.21875	-1	349	0.260337	349	5.6335	351	72.0761	284	10.3179	4.36446	346	16.6221	345	16.6221	0	0	
NC A&T	Mid-Eastern AC	3-29	0.09375	+1	350	0.074455	350	4.79265	344	75.7872	331	5.7647	2.6871	344	17.378	344	17.378	0	0	
Alabama A&M	Southwestern AC	2-27	0.06897	-1	351	0.015447	351	3.12949	348	73.9966	329	5.89397	4.30208	341	17.6427	341	17.6427	0	0	
